timestamp,event_type,state,relay,current,temperature,description
2026-04-24T08:54:16.512396,LOCKOUT_ACTIVE,CRITICAL,OFF,10.39,35.91,Lockout active; manual reset required

2026-04-24T08:54:17.014066,LOCKOUT_ACTIVE,CRITICAL,OFF,10.60,35.94,Lockout active; manual reset required

2026-04-24T08:54:17.515306,LOCKOUT_ACTIVE,CRITICAL,OFF,10.80,35.95,Lockout active; manual reset required

2026-04-24T08:54:18.016721,LOCKOUT_ACTIVE,CRITICAL,OFF,11.01,35.97,Lockout active; manual reset required

2026-04-24T08:54:18.518059,LOCKOUT_ACTIVE,CRITICAL,OFF,11.22,35.99,Lockout active; manual reset required

2026-04-24T08:54:19.019764,LOCKOUT_ACTIVE,CRITICAL,OFF,11.43,36.02,Lockout active; manual reset required

2026-04-24T08:54:19.521166,LOCKOUT_ACTIVE,CRITICAL,OFF,11.63,36.04,Lockout active; manual reset required

2026-04-24T08:54:20.030377,LOCKOUT_ACTIVE,CRITICAL,OFF,11.88,36.17,Lockout active; manual reset required

2026-04-24T08:54:20.531716,LOCKOUT_ACTIVE,CRITICAL,OFF,12.06,36.19,Lockout active; manual reset required

2026-04-24T08:54:21.033378,LOCKOUT_ACTIVE,CRITICAL,OFF,12.07,36.21,Lockout active; manual reset required

2026-04-24T08:54:21.535125,LOCKOUT_ACTIVE,CRITICAL,OFF,12.08,36.24,Lockout active; manual reset required

2026-04-24T08:54:22.036503,LOCKOUT_ACTIVE,CRITICAL,OFF,12.09,36.26,Lockout active; manual reset required

2026-04-24T08:54:22.538113,LOCKOUT_ACTIVE,CRITICAL,OFF,12.09,36.28,Lockout active; manual reset required

2026-04-24T08:54:23.039704,LOCKOUT_ACTIVE,CRITICAL,OFF,12.10,36.30,Lockout active; manual reset required

2026-04-24T08:54:23.541127,LOCKOUT_ACTIVE,CRITICAL,OFF,12.11,36.32,Lockout active; manual reset required

2026-04-24T08:54:24.042640,LOCKOUT_ACTIVE,CRITICAL,OFF,12.12,36.35,Lockout active; manual reset required

2026-04-24T08:54:24.543843,LOCKOUT_ACTIVE,CRITICAL,OFF,12.12,36.36,Lockout active; manual reset required

2026-04-24T08:54:25.045293,LOCKOUT_ACTIVE,CRITICAL,OFF,12.13,36.38,Lockout active; manual reset required

2026-04-24T10:34:13.481573,ANOMALY_DETECTED,WARNING,?,9.40,35.36,Rate-of-change spike detected

2026-04-24T10:34:13.481691,STATE_CHANGE,WARNING,ON,9.40,35.36,State transition: SAFE to WARNING

2026-04-24T10:34:13.986851,ANOMALY_DETECTED,CRITICAL,?,15.76,35.45,Rate-of-change spike detected

2026-04-24T10:34:13.986907,HARDWARE_OVERRIDE_DETECTED,CRITICAL,?,15.76,35.45,I=15.76A (>15A) or T=35.45°C (>75°C)

2026-04-24T10:34:13.986927,STATE_CHANGE,CRITICAL,OFF,15.76,35.45,State transition: WARNING to CRITICAL

2026-04-24T10:34:13.987002,SMS_SENT,CRITICAL,OFF,15.76,35.45,SMS alert triggered

2026-04-24T10:34:14.490331,LOCKOUT_ACTIVE,CRITICAL,OFF,15.78,35.50,Lockout active; manual reset required

2026-04-24T10:34:14.490391,ANOMALY_DETECTED,CRITICAL,?,15.78,35.50,Rate-of-change spike detected

2026-04-24T10:34:14.490416,HARDWARE_OVERRIDE_DETECTED,CRITICAL,?,15.78,35.50,I=15.78A (>15A) or T=35.50°C (>75°C)

2026-04-24T10:34:14.992886,LOCKOUT_ACTIVE,CRITICAL,OFF,15.79,35.54,Lockout active; manual reset required

2026-04-24T10:34:14.992948,ANOMALY_DETECTED,CRITICAL,?,15.79,35.54,Rate-of-change spike detected

2026-04-24T10:34:14.992969,HARDWARE_OVERRIDE_DETECTED,CRITICAL,?,15.79,35.54,I=15.79A (>15A) or T=35.54°C (>75°C)

2026-04-24T10:34:15.495476,LOCKOUT_ACTIVE,CRITICAL,OFF,15.81,35.57,Lockout active; manual reset required

2026-04-24T10:34:15.495538,ANOMALY_DETECTED,CRITICAL,?,15.81,35.57,Rate-of-change spike detected

2026-04-24T10:34:15.495561,HARDWARE_OVERRIDE_DETECTED,CRITICAL,?,15.81,35.57,I=15.81A (>15A) or T=35.57°C (>75°C)

2026-04-24T10:34:15.998114,LOCKOUT_ACTIVE,CRITICAL,OFF,15.83,35.61,Lockout active; manual reset required

2026-04-24T10:34:15.998194,HARDWARE_OVERRIDE_DETECTED,CRITICAL,?,15.83,35.61,I=15.83A (>15A) or T=35.61°C (>75°C)

2026-04-24T10:34:16.502870,LOCKOUT_ACTIVE,CRITICAL,OFF,15.86,35.68,Lockout active; manual reset required

2026-04-24T10:34:16.502947,HARDWARE_OVERRIDE_DETECTED,CRITICAL,?,15.86,35.68,I=15.86A (>15A) or T=35.68°C (>75°C)

2026-04-24T10:35:05.513240,ANOMALY_DETECTED,WARNING,?,5.51,35.30,Rate-of-change spike detected

2026-04-24T10:35:05.513359,STATE_CHANGE,WARNING,ON,5.51,35.30,State transition: SAFE to WARNING

2026-04-24T10:35:05.719252,ANOMALY_DETECTED,WARNING,?,8.16,35.39,Rate-of-change spike detected

2026-04-24T10:35:05.920688,ANOMALY_DETECTED,CRITICAL,?,10.74,35.41,Rate-of-change spike detected

2026-04-24T10:35:05.920780,STATE_CHANGE,CRITICAL,OFF,10.74,35.41,State transition: WARNING to CRITICAL

2026-04-24T10:35:05.920981,SMS_SENT,CRITICAL,OFF,10.74,35.41,SMS alert triggered

2026-04-24T10:35:06.123665,LOCKOUT_ACTIVE,CRITICAL,OFF,13.35,35.45,Lockout active; manual reset required

2026-04-24T10:35:06.123854,ANOMALY_DETECTED,CRITICAL,?,13.35,35.45,Rate-of-change spike detected

2026-04-24T10:35:06.326457,LOCKOUT_ACTIVE,CRITICAL,OFF,15.78,35.49,Lockout active; manual reset required

2026-04-24T10:35:06.326646,ANOMALY_DETECTED,CRITICAL,?,15.78,35.49,Rate-of-change spike detected

2026-04-24T10:35:06.326775,HARDWARE_OVERRIDE_DETECTED,CRITICAL,?,15.78,35.49,I=15.78A (>15A) or T=35.49°C (>75°C)

2026-04-24T10:35:06.565747,LOCKOUT_ACTIVE,CRITICAL,OFF,16.03,36.06,Lockout active; manual reset required

2026-04-24T10:35:06.565946,ANOMALY_DETECTED,CRITICAL,?,16.03,36.06,Rate-of-change spike detected

2026-04-24T10:35:06.566077,HARDWARE_OVERRIDE_DETECTED,CRITICAL,?,16.03,36.06,I=16.03A (>15A) or T=36.06°C (>75°C)

2026-04-24T10:35:06.803912,LOCKOUT_ACTIVE,CRITICAL,OFF,16.27,36.61,Lockout active; manual reset required

2026-04-24T10:35:06.804072,ANOMALY_DETECTED,CRITICAL,?,16.27,36.61,Rate-of-change spike detected

2026-04-24T10:35:06.804178,HARDWARE_OVERRIDE_DETECTED,CRITICAL,?,16.27,36.61,I=16.27A (>15A) or T=36.61°C (>75°C)

2026-04-24T10:35:43.267474,STATE_CHANGE,WARNING,ON,5.00,35.51,State transition: SAFE to WARNING

2026-04-24T10:35:57.287263,STATE_CHANGE,CRITICAL,OFF,10.16,35.79,State transition: WARNING to CRITICAL

2026-04-24T10:35:57.287490,SMS_SENT,CRITICAL,OFF,10.16,35.79,SMS alert triggered

2026-04-24T10:35:57.789539,LOCKOUT_ACTIVE,CRITICAL,OFF,10.36,35.82,Lockout active; manual reset required

2026-04-24T10:35:58.290589,LOCKOUT_ACTIVE,CRITICAL,OFF,10.57,35.84,Lockout active; manual reset required

2026-04-24T10:35:58.792026,LOCKOUT_ACTIVE,CRITICAL,OFF,10.77,35.86,Lockout active; manual reset required

2026-04-24T10:35:59.497732,ANOMALY_DETECTED,WARNING,?,5.51,35.30,Rate-of-change spike detected

2026-04-24T10:35:59.497804,STATE_CHANGE,WARNING,ON,5.51,35.30,State transition: SAFE to WARNING

2026-04-24T10:35:59.699704,ANOMALY_DETECTED,WARNING,?,8.09,35.33,Rate-of-change spike detected

